mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX;HRZB00ICBEX6;31.7.2025;3770,77;3774,1;3742,55;3754,85;-0,45;1845687,93
XZAG;CBX;HRZB00ICBEX6;30.7.2025;3776,15;3788,48;3756,68;3771,93;-0,01;3187229,06
XZAG;CBX;HRZB00ICBEX6;29.7.2025;3779,01;3797,61;3764,27;3772,14;-0,18;2269724,64
XZAG;CBX;HRZB00ICBEX6;28.7.2025;3757,68;3781,18;3757,68;3779,01;0,6;1168640,73
XZAG;CBX;HRZB00ICBEX6;25.7.2025;3798,37;3799,56;3751,23;3756,39;-1,26;2495714,11
XZAG;CBX;HRZB00ICBEX6;24.7.2025;3784,18;3822,98;3784,18;3804,19;0,52;3667934,41
XZAG;CBX;HRZB00ICBEX6;23.7.2025;3780,92;3791,06;3756,68;3784,39;0,23;1459821,97
XZAG;CBX;HRZB00ICBEX6;22.7.2025;3720,42;3803,82;3720,42;3775,76;1,49;3097391,3
XZAG;CBX;HRZB00ICBEX6;21.7.2025;3697,09;3723,98;3693,11;3720,42;0,63;2477140,17
XZAG;CBX;HRZB00ICBEX6;18.7.2025;3702,76;3712,58;3686,48;3697,09;-0,15;2962744,68
XZAG;CBX;HRZB00ICBEX6;17.7.2025;3702,28;3730,7;3697,91;3702,76;0,01;3176856,26
XZAG;CBX;HRZB00ICBEX6;16.7.2025;3682,8;3709,44;3678,7;3702,28;0,53;2866196,49
XZAG;CBX;HRZB00ICBEX6;15.7.2025;3657,14;3690,21;3650,62;3682,8;0,67;1944670,2
XZAG;CBX;HRZB00ICBEX6;14.7.2025;3627,99;3659,73;3621,74;3658,43;0,78;2121032,58
XZAG;CBX;HRZB00ICBEX6;11.7.2025;3582,25;3630,34;3580,91;3630,26;1,36;2405326,23
XZAG;CBX;HRZB00ICBEX6;10.7.2025;3578,19;3587,76;3576,91;3581,39;0,09;549789,1
XZAG;CBX;HRZB00ICBEX6;9.7.2025;3571,85;3578,19;3566,33;3578,19;0,22;1133863,36
XZAG;CBX;HRZB00ICBEX6;8.7.2025;3568,08;3571,17;3556,26;3570,43;0,06;725654,65
XZAG;CBX;HRZB00ICBEX6;7.7.2025;3566,39;3577,06;3565,85;3568,38;0,13;1096684,4
XZAG;CBX;HRZB00ICBEX6;4.7.2025;3561,12;3570,06;3558,73;3563,72;0,14;964373,82
XZAG;CBX;HRZB00ICBEX6;3.7.2025;3541,2;3561,15;3533,67;3558,79;0,61;887552,38
XZAG;CBX;HRZB00ICBEX6;2.7.2025;3577,81;3577,81;3536,04;3537,33;-1,23;1690857,71
XZAG;CBX;HRZB00ICBEX6;1.7.2025;3607,64;3608,71;3578,24;3581,3;-0,6;1475960,27
XZAG;CBX;HRZB00ICBEX6;30.6.2025;3605,72;3609,29;3593,8;3602,88;-0,11;1810744,85
XZAG;CBX;HRZB00ICBEX6;27.6.2025;3627,99;3635,52;3606,11;3606,91;-0,58;1301311,04
XZAG;CBX;HRZB00ICBEX6;26.6.2025;3600,33;3630,12;3595,37;3627,99;0,77;2004027,88
XZAG;CBX;HRZB00ICBEX6;25.6.2025;3566,78;3600,33;3562,95;3600,33;0,94;1248751,28
XZAG;CBX;HRZB00ICBEX6;24.6.2025;3515,94;3566,78;3515,94;3566,78;1,56;1726265,89
XZAG;CBX;HRZB00ICBEX6;23.6.2025;3555,04;3555,04;3503,36;3511,93;-1,33;813789,2
XZAG;CBX;HRZB00ICBEX6;20.6.2025;3506,05;3559,34;3504,63;3559,34;1,51;3305640,29
